TimeStamp, Electrode, BrainWave, Value
13:51:15.947285,F8,Theta,88.3241412418646,
13:51:15.947285,F8,Alpha,27.874127083582,
13:51:15.947285,F8,Low_Beta,17.1300945865792,
13:51:15.947285,F8,High_Beta,10.6404625647777,
13:51:15.947285,F8,Gamma,11.0665474450961,
13:51:15.947285,FC5,Theta,84.0658488565199,
13:51:15.947285,FC5,Alpha,29.9208361772784,
13:51:15.947285,FC5,Low_Beta,15.1039536923926,
13:51:15.947285,FC5,High_Beta,7.71248541064175,
13:51:15.947285,FC5,Gamma,3.28613683591196,
13:51:15.947285,FC6,Theta,88.8406218437666,
13:51:15.947285,FC6,Alpha,30.1031639657056,
13:51:15.947285,FC6,Low_Beta,16.6422418146376,
13:51:15.947285,FC6,High_Beta,9.2116272589951,
13:51:15.947285,FC6,Gamma,8.16763201358382,
13:51:15.947285,P7,Theta,86.2575071196673,
13:51:15.947285,P7,Alpha,28.912087197373,
13:51:15.947285,P7,Low_Beta,15.5709331491734,
13:51:15.947285,P7,High_Beta,8.42543439620363,
13:51:15.947285,P7,Gamma,5.47911096483715,
13:51:15.947285,P8,Theta,92.0179395863867,
13:51:15.947285,P8,Alpha,29.4884444368691,
13:51:15.947285,P8,Low_Beta,19.081245230433,
13:51:15.947285,P8,High_Beta,11.2200989380768,
13:51:15.947285,P8,Gamma,11.1832158683929,
13:51:15.947285,O1,Theta,85.6571354052934,
13:51:15.947285,O1,Alpha,28.7823484493925,
13:51:15.947285,O1,Low_Beta,15.4850000845639,
13:51:15.947285,O1,High_Beta,8.12964311965508,
13:51:15.947285,O1,Gamma,4.50249985946375,
13:51:15.947285,O2,Theta,94.7800388265701,
13:51:15.947285,O2,Alpha,30.5670856004103,
13:51:15.947285,O2,Low_Beta,20.0737469045466,
13:51:15.947285,O2,High_Beta,13.261951888952,
13:51:15.947285,O2,Gamma,14.2727986484688,
13:51:16.119744,AF3,Theta,0.865583863907842,
13:51:16.119744,AF3,Alpha,0.346251631527422,
13:51:16.119744,AF3,Low_Beta,0.334381409161276,
13:51:16.119744,AF3,High_Beta,0.145851598469398,
13:51:16.119744,AF3,Gamma,0.123361846428308,
13:51:16.119744,AF4,Theta,0.959021101989027,
